"id","postingdate","username","permalink","header","posting_type","recipients","impact","likesfavorites","sharesretweets","reach"
"6748172281","2017-01-01T22:05:57.000000","iktwitelkedag","http://twitter.com/iktwitelkedag/statuses/815665390009323521","RT @P_vdVelde: @ArdvanderSteur klinkt fantastisch. Maar doe er eens wat aan. Met politiek gewenste antwoorden kom je er niet. #lozewoorden","0","[]","60","0","29","3449"
"6748172276","2017-01-01T22:06:04.000000","iktwitelkedag","http://twitter.com/iktwitelkedag/statuses/815665418669068288","RT @RA_Hendriks: @ArdvanderSteur in Rotterdam zeggen wij ""niet lullen maar poetsen"". Ik heb een emmertje met sop klaar gezet voor u.","0","[]","60","0","10","3449"
"6748172339","2017-01-01T22:00:49.000000","MWBP2000","http://twitter.com/MWBP2000/statuses/815664095751995393","A1 4854GB 3 : Adelaarsvaren 3 Bavel 295","0","[]","12","0","0","145"
"6748172340","2017-01-01T21:30:34.000000","lin1975","http://twitter.com/lin1975/statuses/815656484864397312","@Danielle_enzo hopelijk komt het dan nog op uitzending gemist","1","[u'Danielle_enzo']","12","0","0","1"
"6748172007","2017-01-01T22:04:17.000000","p2000alarm_nl","http://twitter.com/p2000alarm_nl/statuses/815664967902986240","#DenHaag / P 2 Buitenbrand berm/ruigte (VK: 2) Van der Woudendijk DHG 5630 / https://goo.gl/e7OCs8","0","[]","60","0","0","1623"
"6786348903","2017-01-26T20:19:40.000000","P2000_Regio18","http://twitter.com/P2000_Regio18/statuses/824698336049528832","Melding : a1 13160 rit 11399 amsterdam albert cuypstraatcv 56 h th http://ift.tt/2kxTak3","0","[]","12","0","0","941"
"6786348938","2017-01-26T20:21:43.000000","edwinvos18","http://twitter.com/edwinvos18/statuses/824698852481572865","RT @KaravanityPOPup: De stand is klaar voor de open dagen van het AOC in Almelo. Komen jullie ook vrijdag en zaterdag langs? https://t.co/OhXX2BlSO9","0","[]","12","0","2","231"
"6786348862","2017-01-26T20:20:22.000000","HINDDCHAMI","http://twitter.com/HINDDCHAMI/statuses/824698512759816193","soon in Amsterdam #IbtissamTiskat https://t.co/2hn3gSGTeA","0","[]","1","0","0","69"
"6786348974","2017-01-26T20:20:28.000000","nikkie42","http://twitter.com/nikkie42/statuses/824698537783029760","#steurdebat. Mag vd Steur geruild worden zonder bonnetje?","0","[]","12","0","1","238"
"6786348956","2017-01-26T20:21:49.000000","Shariii_","http://twitter.com/Shariii_/statuses/824698877781692417","RT @Robindemeester: En ook echt 's morgens,  's middags n 's avonds https://twitter.com/demeulenaere_/status/823935619181215744","0","[]","1","0","7","269"
"6786348947","2017-01-26T20:21:43.000000","hi_nld","http://twitter.com/hi_nld/statuses/824698852066422786","RT @Arnout_Maat: De inbreng van Zijlstra laat eens te meer zien: van dualiteit is geen sprake, de regering controleert de Kamer i.p.v. andersom. #steurdebat","0","[]","12","0","15","1251"
"6786348929","2017-01-26T20:21:43.000000","PhRoose","http://twitter.com/PhRoose/statuses/824698854129991682","RT @PhilipVanImpe: #terzake #publifin SP-A loopt al jaren aan het handje van de PS om hier toch iets te zeggen hebben zegt @cauwelaert . Ik geloof hem.","0","[]","60","0","2","3300"
"6786348695","2017-01-26T20:21:11.000000","bredavandaag","http://twitter.com/bredavandaag/statuses/824698720272867328","House of DJs richt pijlen op Amsterdam http://bit.ly/2k8dtIn #breda #BredaVandaag","0","[]","1000","0","0","11833"
"6786348978","2017-01-26T20:19:08.000000","p2000alarm_nl","http://twitter.com/p2000alarm_nl/statuses/824698203585019905","#Amsterdam / P 1 Ass. Politie (Openen Deur) , Orteliusstraat 191 Amsterdam [ 13GG02 13ASH ] / https://goo.gl/DFK8gP","0","[]","60","0","0","1654"
"6786349276","2017-01-26T20:18:58.000000","linkehenkie","http://twitter.com/linkehenkie/statuses/824698161818202113","Hey @nos er staat al 1150 km aan muur aan de grens Mexico,Trump maak hem alleen langer .","0","[]","12","0","0","144"
"6850678769","2017-02-25T19:50:11.000000","LocalFMnu","http://twitter.com/LocalFMnu/statuses/835562555628208128","Dorinis - De Nonnen Uit Het Zuiden nu op #LocalFM","0","[]","12","0","0","94"
"6850678770","2017-02-25T19:50:43.000000","MathieuDoom","http://twitter.com/MathieuDoom/statuses/835562689753722880","@SuzukiWorldMXGP @kevinstrijbos volgende gp beter!!! Goed weergekomen van Kevin! Alvast veel succes gewenst","1","[u'SuzukiWorldMXGP']","1","0","0","1"
"6850678657","2017-02-25T19:50:42.000000","JDVenema","http://twitter.com/JDVenema/statuses/835562684036837376","""Wat ik wil bereiken is dat het aangenamer wordt om een bedrijf te starten en mensen aan te trekken.""  Ook gelukt i https://twitter.com/i/web/status/835562684036837376 Quote: @sypwynia: .@MinPres = werkverschaffer factcheckers. 'NL 1 vd snelst groeiende econ v heel Europa'. Feit? 2/3 groeit harder https://t.co/Q7dvqM4LYb #FD","0","[]","12","0","0","212"
"6850678778","2017-02-25T19:50:39.000000","5150power","http://twitter.com/5150power/statuses/835562669314723841","Van Halen - Van Halen - I'm The One https://youtu.be/kzkXGIRaxcI via @YouTube","0","[]","1","0","0","193"
"6850678518","2017-02-25T19:50:25.000000","ScorpiiThetha","http://twitter.com/ScorpiiThetha/statuses/835562611156602880","@rtl4nieuws Jullie nemen er tijd voor vanavond, niet? Lekker anti Trump, heel het journaal..... Natte droom voor jullie?","1","[u'rtl4nieuws']","12","0","0","1"
"6850678541","2017-02-25T19:50:58.000000","donkfoto","http://twitter.com/donkfoto/statuses/835562750952751104","Portretfoto van Theo Maassen http://fb.me/4T4hPPvqE","0","[]","1","0","0","133"
"6850678558","2017-02-25T19:50:57.000000","sporza_live","http://twitter.com/sporza_live/statuses/835562747995828224","Het zit erop. Charleroi heeft het opnieuw gedaan met een laat doelpunt. 1-0, dankzij een kopbalgoal van Hamdi Harbaoui. #chastvv","0","[]","1000","0","0","44062"
"6850678532","2017-02-25T19:50:56.000000","YordiYVE","http://twitter.com/YordiYVE/statuses/835562743998611457","@PostNL het is geregeld, dank u wel!","1","[u'YordiYVE']","1","0","0","1"
"6850678594","2017-02-25T19:16:32.000000","clstoelwinder","http://twitter.com/clstoelwinder/statuses/835554086321795073","@futurumopteryx wow anna!! Prachtig!!@NathalieNatuur","1","[u'futurumopteryx']","1","1","0","1"
"6850678688","2017-02-25T19:50:34.000000","MissKoffieklets","http://twitter.com/MissKoffieklets/statuses/835562652126568449","@mariet1507 Lientje kan dat niet ze. Een uurtje max. Zo ne zaterdagmiddag of de woensdagmiddag. Langer kan die niet alleen tv kijken ofzo.","1","[u'mariet1507']","60","0","0","1"
"6747020368","2017-01-01T00:37:36.000000","UnParisienPsg92","http://twitter.com/UnParisienPsg92/statuses/815341165277020160","RT @ThomMills: Looking to the future... 2017, you're mine! Le futur en vue... 2017, tu es mien! Zicht op de toekomst... 2017, jij bent van","0","[]","1","0","151","208"
"6747020566","2017-01-01T00:52:04.000000","WestlandersNu","http://twitter.com/WestlandersNu/statuses/815344803932176384","Brandmelding VlietWeg Naaldwijk betrof kampvuur jongeren. In overleg met brandweer heeft politie het zo gelaten https://t.co/KTDQnnVJaz","0","[]","1000","0","0","15913"
"6747020579","2017-01-01T00:50:30.000000","P2000_Regio18","http://twitter.com/P2000_Regio18/statuses/815344409063591936","Melding : alarm 24u-ploeg den bosch > lift vast: zuid willemsvaart 95 's-hertogen http://ift.tt/2ijZYUr","0","[]","12","0","0","924"
"6747020399","2017-01-01T00:51:12.000000","MissyFrissie","http://twitter.com/MissyFrissie/statuses/815344586528788482","@luccamerel Gelukkig nieuwjaar! ","1","[u'luccamerel']","12","0","0","1"
"6747020562","2017-01-01T00:29:43.000000","LaartjeJacobs15","http://twitter.com/LaartjeJacobs15/statuses/815339181400588293","De overgang van oud naar nieuw is nog nooit zo raar geweest.","0","[]","1","5","0","532"
