"","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore","Distance"
"Precision425",0,0,NA,0.741691382765531,-0.0607512862448192,0.821097046414,0.902008888889,0.859653279966,475
"Precision424",0,0,NA,0.738909819639278,-0.0621823462601487,0.821141649049,0.89848,0.858071715072,474
"Precision423",0,0,NA,0.736144288577154,-0.0635662966532504,0.821186440678,0.894968888889,0.856491605069,473
"Precision422",0,0,NA,0.733394789579158,-0.0649045946988725,0.821231422505,0.891475555556,0.854913009634,472
"Precision421",0,0,NA,0.730661322645291,-0.0661986340570032,0.821276595745,0.888,0.853335988847,471
"Precision420",0,0,NA,0.727943887775551,-0.0674497481664705,0.82132196162,0.884542222222,0.851760603186,470
"Precision419",0,0,NA,0.72524248496994,-0.0686592134231364,0.821367521368,0.881102222222,0.850186913527,469
"Precision418",0,0,NA,0.722557114228457,-0.0698282521584861,0.821413276231,0.87768,0.848614981141,468
"Precision417",0,0,NA,0.719887775551102,-0.0709580354330767,0.821459227468,0.874275555556,0.847044867689,467
"Precision416",0,0,NA,0.717234468937876,-0.0720496856581236,0.821505376344,0.870888888889,0.845476635224,466
"Precision415",0,0,NA,0.714597194388778,-0.0731042790574289,0.821551724138,0.86752,0.843910346185,465
"Precision414",0,0,NA,0.711975951903808,-0.0741228479808854,0.821598272138,0.864168888889,0.842346063396,464
"Precision413",0,0,NA,0.709370741482966,-0.075106383079873,0.821645021645,0.860835555556,0.840783850063,463
"Precision412",0,0,NA,0.706781563126253,-0.0760558353540784,0.82169197397,0.85752,0.839223769769,462
"Precision411",0,0,NA,0.704208416833667,-0.0769721180785044,0.821739130435,0.854222222222,0.837665886477,461
"Precision410",0,0,NA,0.70165130260521,-0.0778561086187665,0.821786492375,0.850942222222,0.836110264517,460
"Precision409",0,0,NA,0.699110220440882,-0.0787086501421576,0.821834061135,0.84768,0.834556968594,459
"Precision408",0,0,NA,0.696585170340681,-0.0795305532313963,0.821881838074,0.844435555556,0.833006063777,458
"Precision407",0,0,NA,0.694076152304609,-0.08032259740743,0.821929824561,0.841208888889,0.831457615498,457
"Precision406",0,0,NA,0.691583166332665,-0.0810855325672444,0.821978021978,0.838,0.82991168955,456
"Precision405",0,0,NA,0.68910621242485,-0.081820080342118,0.822026431718,0.834808888889,0.82836835208,455
"Precision404",0,0,NA,0.686645290581162,-0.082526935381445,0.822075055188,0.831635555556,0.826827669591,454
"Precision403",0,0,NA,0.684200400801603,-0.0832067665668022,0.822123893805,0.82848,0.825289708931,453
"Precision402",0,0,NA,0.681771543086172,-0.0838602181606567,0.822172949002,0.825342222222,0.823754537297,452
"Precision401",0,0,NA,0.67935871743487,-0.0844879108937791,0.822222222222,0.822222222222,0.822222222222,451
"Precision400",0,0,NA,0.676961923847695,-0.0850904429951172,0.822271714922,0.81912,0.820692831582,450
"Precision399",0,0,NA,0.674581162324649,-0.0856683911676796,0.822321428571,0.816035555556,0.819166433581,449
"Precision398",0,0,NA,0.672216432865731,-0.0862223115136606,0.822371364653,0.812968888889,0.817643096754,448
"Precision397",0,0,NA,0.669867735470942,-0.0867527404118897,0.822421524664,0.80992,0.816122889961,447
"Precision396",0,0,NA,0.667535070140281,-0.0872601953504134,0.822471910112,0.806888888889,0.81460588238,446
"Precision395",0,0,NA,0.665218436873747,-0.0877451757168757,0.822522522523,0.803875555556,0.813092143507,445
"Precision394",0,0,NA,0.662917835671343,-0.0882081635491619,0.822573363431,0.80088,0.811581743146,444
"Precision393",0,0,NA,0.660633266533066,-0.0886496242486107,0.822624434389,0.797902222222,0.810074751409,443
"Precision392",0,0,NA,0.658364729458918,-0.0890700072579468,0.822675736961,0.794942222222,0.80857123871,442
"Precision391",0,0,NA,0.656112224448898,-0.0894697467059562,0.822727272727,0.792,0.807071275757,441
"Precision390",0,0,NA,0.653875751503006,-0.089849262020776,0.82277904328,0.789075555556,0.805574933551,440
"Precision389",0,0,NA,0.651655310621242,-0.090208958513572,0.822831050228,0.786168888889,0.804082283379,439
"Precision388",0,0,NA,0.649450901803607,-0.0905492279342477,0.822883295195,0.78328,0.802593396809,438
"Precision387",0,0,NA,0.6472625250501,-0.0908704490007293,0.822935779817,0.780408888889,0.801108345683,437
"Precision386",0,0,NA,0.645090180360721,-0.0911729879032809,0.822988505747,0.777555555556,0.799627202117,436
"Precision385",0,0,NA,0.642933867735471,-0.0914571987852063,0.823041474654,0.77472,0.798150038487,435
"Precision384",0,0,NA,0.640793587174349,-0.0917234242012096,0.823094688222,0.771902222222,0.796676927432,434
"Precision383",0,0,NA,0.638669338677355,-0.091971995554616,0.823148148148,0.769102222222,0.795207941841,433
"Precision382",0,0,NA,0.636561122244489,-0.092203233514566,0.823201856148,0.76632,0.793743154853,432
"Precision381",0,0,NA,0.634468937875752,-0.0924174484142605,0.823255813953,0.763555555556,0.792282639848,431
"Precision380",0,0,NA,0.632392785571142,-0.0926149406312221,0.82331002331,0.760808888889,0.79082647044,430
"Precision379",0,0,NA,0.630332665330661,-0.0927960009505268,0.823364485981,0.75808,0.789374720473,429
"Precision378",0,0,NA,0.628288577154309,-0.0929609109118779,0.823419203747,0.755368888889,0.787927464015,428
"Precision377",0,0,NA,0.626260521042084,-0.0931099431413478,0.823474178404,0.752675555556,0.78648477535,427
"Precision376",0,0,NA,0.624248496993988,-0.0932433616685656,0.823529411765,0.75,0.785046728972,426
"Precision375",0,0,NA,0.62225250501002,-0.0933614222300912,0.82358490566,0.747342222222,0.783613399578,425
"Precision374",0,0,NA,0.62027254509018,-0.0934643725596615,0.823640661939,0.744702222222,0.782184862064,424
"Precision373",0,0,NA,0.618308617234469,-0.0935524526659605,0.823696682464,0.74208,0.780761191514,423
