"","Precision","Recall","F1","Rand","adjRand","BCubed.Precision","BCubed.Recall","BCubed.FScore","Distance"
"Precision444",0,0,NA,0.992031936127745,0.975567579382912,0.992286613214,0.992051932172,0.992169258816,444
"Precision443",0,0,NA,0.992031936127745,0.975834122526384,0.992282102462,0.992052013355,0.992167044569,443
"Precision442",0,0,NA,0.992031936127745,0.976090893040966,0.992277739603,0.992052094905,0.992164904425,442
"Precision441",0,0,NA,0.992031936127745,0.976338368469161,0.992273517481,0.992052176825,0.992162834809,441
"Precision440",0,0,NA,0.992031936127745,0.976576995589213,0.992269429395,0.992052259118,0.992160832373,440
"Precision439",0,0,NA,0.992031936127745,0.976807192857913,0.992265469062,0.992052341786,0.992158893978,439
"Precision438",0,0,NA,0.992031936127745,0.977029352624403,0.992261630585,0.992052424831,0.99215701668,438
"Precision437",0,0,NA,0.992031936127745,0.977243843139661,0.992257908426,0.992052508256,0.99215519771,437
"Precision436",0,0,NA,0.992031936127745,0.977451010383317,0.992254297375,0.992052592064,0.992153434468,436
"Precision435",0,0,NA,0.992031936127745,0.977651179726889,0.992250792533,0.992052676257,0.992151724504,435
"Precision434",0,0,NA,0.992031936127745,0.977844657450281,0.992247389279,0.992052760838,0.992150065514,434
"Precision433",0,0,NA,0.992031936127745,0.978031732126432,0.992244083262,0.99205284581,0.99214845532,433
"Precision432",0,0,NA,0.992031936127745,0.978212675887287,0.992240870372,0.992052931175,0.992146891873,432
"Precision431",0,0,NA,0.992031936127745,0.978387745582802,0.992237746729,0.992053016936,0.992145373234,431
"Precision430",0,0,NA,0.992031936127745,0.978557183843375,0.992234708665,0.992053103096,0.99214389757,430
"Precision429",0,0,NA,0.992031936127745,0.978721220054976,0.992231752711,0.992053189658,0.99214246315,429
"Precision428",0,0,NA,0.992031936127745,0.978880071255207,0.992228875582,0.992053276624,0.992141068333,428
"Precision427",0,0,NA,0.992031936127745,0.979033942957706,0.992226074167,0.992053363998,0.992139711566,427
"Precision426",0,0,NA,0.992031936127745,0.979183029911458,0.992223345517,0.992053451782,0.992138391376,426
"Precision425",0,0,NA,0.992031936127745,0.979327516800966,0.992220686831,0.992053539979,0.992137106365,425
"Precision424",0,0,NA,0.992031936127745,0.979467578892561,0.992218095455,0.992053628592,0.992135855207,424
"Precision423",0,0,NA,0.992031936127745,0.979603382631633,0.992215568862,0.992053717624,0.992134636642,423
"Precision422",0,0,NA,0.992031936127745,0.979735086195081,0.992213104655,0.992053807078,0.992133449472,422
"Precision421",0,0,NA,0.992031936127745,0.979862840002848,0.99221070055,0.992053896957,0.992132292558,421
"Precision420",0,0,NA,0.992031936127745,0.979986787192032,0.992208354376,0.992053987264,0.992131164815,420
"Precision419",0,0,NA,0.992031936127745,0.980107064056725,0.992206064062,0.992054078002,0.992130065211,419
"Precision418",0,0,NA,0.992031936127745,0.98022380045645,0.992203827639,0.992054169174,0.992128992762,418
"Precision417",0,0,NA,0.992031936127745,0.980337120195761,0.992201643225,0.992054260783,0.992127946531,417
"Precision416",0,0,NA,0.992031936127745,0.980447141377372,0.992199509028,0.992054352833,0.992126925621,416
"Precision415",0,0,NA,0.992031936127745,0.980553976730932,0.992197423335,0.992054445326,0.992125929179,415
"Precision414",0,0,NA,0.992031936127745,0.980657733919386,0.992195384512,0.992054538266,0.99212495639,414
"Precision413",0,0,NA,0.992031936127745,0.980758515824686,0.992193390996,0.992054631657,0.992124006475,413
"Precision412",0,0,NA,0.992031936127745,0.980856420814456,0.992191441293,0.9920547255,0.992123078687,412
"Precision411",0,0,NA,0.992031936127745,0.980951542991078,0.992189533976,0.992054819801,0.992122172315,411
"Precision410",0,0,NA,0.992031936127745,0.981043972424529,0.992187667675,0.992054914561,0.992121286677,410
"Precision409",0,0,NA,0.992031936127745,0.981133795370203,0.992185841084,0.992055009785,0.992120421121,409
"Precision408",0,0,NA,0.992031936127745,0.981221094472824,0.992184052947,0.992055105475,0.992119575021,408
"Precision407",0,0,NA,0.992031936127745,0.981305948957481,0.992182302063,0.992055201636,0.992118747779,407
"Precision406",0,0,NA,0.992031936127745,0.981388434808723,0.992180587279,0.99205529827,0.992117938819,406
"Precision405",0,0,NA,0.992031936127745,0.981468624938569,0.992178907491,0.992055395382,0.992117147592,405
"Precision404",0,0,NA,0.992031936127745,0.98154658934424,0.992177261638,0.992055492974,0.99211637357,404
"Precision403",0,0,NA,0.992031936127745,0.981622395256313,0.992175648703,0.992055591051,0.992115616245,403
"Precision402",0,0,NA,0.992031936127745,0.981696107277992,0.992174067706,0.992055689616,0.99211487513,402
"Precision401",0,0,NA,0.992031936127745,0.981767787516103,0.99217251771,0.992055788672,0.992114149757,401
"Precision400",0,0,NA,0.992031936127745,0.981837495704369,0.99217099781,0.992055888224,0.992113439678,400
"Precision399",0,0,NA,0.992031936127745,0.981905289319504,0.99216950714,0.992055988274,0.99211274446,399
"Precision398",0,0,NA,0.992031936127745,0.981971223690606,0.992168044863,0.992056088827,0.992112063687,398
"Precision397",0,0,NA,0.992031936127745,0.982035352102284,0.992166610176,0.992056189887,0.992111396959,397
"Precision396",0,0,NA,0.992031936127745,0.982097725891949,0.992165202306,0.992056291457,0.992110743893,396
"Precision395",0,0,NA,0.992031936127745,0.982158394541632,0.992163820507,0.992056393542,0.992110104116,395
"Precision394",0,0,NA,0.992031936127745,0.982217405764704,0.992162464063,0.992056496145,0.992109477274,394
"Precision393",0,0,NA,0.992031936127745,0.982274805587801,0.992161132281,0.99205659927,0.992108863022,393
"Precision392",0,0,NA,0.992031936127745,0.982330638428279,0.992159824495,0.992056702921,0.992108261028,392
"Precision391",0,0,NA,0.992031936127745,0.982384947167468,0.992158540063,0.992056807102,0.992107670974,391
"Precision390",0,0,NA,0.992031936127745,0.982437773219992,0.992157278364,0.992056911817,0.992107092552,390
"Precision389",0,0,NA,0.992031936127745,0.982489156599395,0.9921560388,0.992057017071,0.992106525465,389
"Precision388",0,0,NA,0.992031936127745,0.982539135980302,0.992154820793,0.992057122868,0.992105969425,388
"Precision387",0,0,NA,0.992031936127745,0.982587748757327,0.992153623787,0.992057229211,0.992105424157,387
"Precision386",0,0,NA,0.992031936127745,0.982635031100909,0.992152447242,0.992057336105,0.992104889394,386
"Precision385",0,0,NA,0.992031936127745,0.982681018010287,0.992151290639,0.992057443554,0.992104364877,385
"Precision384",0,0,NA,0.992031936127745,0.982725743363751,0.992150153475,0.992057551564,0.992103850358,384
"Precision383",0,0,NA,0.992031936127745,0.982769239966358,0.992149035263,0.992057660137,0.992103345596,383
"Precision382",0,0,NA,0.992031936127745,0.98281153959523,0.992147935534,0.992057769278,0.992102850357,382
"Precision381",0,0,NA,0.992031936127745,0.982852673042606,0.992146853833,0.992057878993,0.992102364418,381
"Precision380",0,0,NA,0.992031936127745,0.982892670156746,0.992145789721,0.992057989285,0.99210188756,380
"Precision379",0,0,NA,0.992031936127745,0.982931559880828,0.992144742773,0.992058100159,0.992101419574,379
"Precision378",0,0,NA,0.992031936127745,0.982969370289948,0.992143712575,0.992058211619,0.992100960255,378
"Precision377",0,0,NA,0.992031936127745,0.983006128626311,0.99214269873,0.992058323671,0.992100509406,377
"Precision376",0,0,NA,0.992031936127745,0.983041861332745,0.99214170085,0.992058436319,0.992100066838,376
"Precision375",0,0,NA,0.992031936127745,0.983076594084596,0.992140718563,0.992058549568,0.992099632364,375
"Precision374",0,0,NA,0.992031936127745,0.983110351820113,0.992139751505,0.992058663422,0.992099205806,374
"Precision373",0,0,NA,0.992031936127745,0.9831431587694,0.992138799324,0.992058777887,0.992098786992,373
"Precision372",0,0,NA,0.992031936127745,0.983175038482004,0.992137861681,0.992058892967,0.992098375753,372
"Precision371",0,0,NA,0.992031936127745,0.983206013853224,0.992136938245,0.992059008667,0.992097971926,371
"Precision370",0,0,NA,0.992031936127745,0.983236107149191,0.992136028694,0.992059124993,0.992097575354,370
"Precision369",0,0,NA,0.992031936127745,0.983265340030803,0.99213513272,0.99205924195,0.992097185883,369
"Precision368",0,0,NA,0.992031936127745,0.983293733576555,0.992134250018,0.992059359542,0.992096803367,368
"Precision367",0,0,NA,0.992031936127745,0.983321308304333,0.992133380298,0.992059477775,0.99209642766,367
"Precision366",0,0,NA,0.992031936127745,0.983348084192221,0.992132523275,0.992059596654,0.992096058624,366
